feature,model,model_path,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_f1_sport,test_f1_politics,test_confusion_matrix
bow,LogisticRegression,models\bow__LogisticRegression.joblib,0.9938837920489296,0.9938837348496184,0.9938837348496184,0.9938837348496184,0.9969418960244648,0.9969512195121951,0.9969512195121951,0.9969418960244648,0.9969418960244648,0.9969418960244648,"[[163, 1], [0, 163]]"
tfidf,SGDClassifier,models\tfidf__SGDClassifier.joblib,1.0,1.0,1.0,1.0,0.9969418960244648,0.996969696969697,0.9969325153374233,0.9969417816226327,0.9969230769230769,0.9969604863221885,"[[164, 0], [1, 162]]"
tfidf,LinearSVC,models\tfidf__LinearSVC.joblib,1.0,1.0,1.0,1.0,0.9938837920489296,0.9938837348496184,0.9938837348496184,0.9938837348496184,0.9938650306748467,0.9939024390243902,"[[163, 1], [1, 162]]"
bow,LinearSVC,models\bow__LinearSVC.joblib,0.9969418960244648,0.996969696969697,0.9969325153374233,0.9969417816226327,0.9938837920489296,0.9938837348496184,0.9938837348496184,0.9938837348496184,0.9938650306748467,0.9939024390243902,"[[163, 1], [1, 162]]"
bow,SGDClassifier,models\bow__SGDClassifier.joblib,0.9969418960244648,0.996969696969697,0.9969325153374233,0.9969417816226327,0.9938837920489296,0.9938837348496184,0.9938837348496184,0.9938837348496184,0.9938650306748467,0.9939024390243902,"[[163, 1], [1, 162]]"
tfidf,LogisticRegression,models\tfidf__LogisticRegression.joblib,1.0,1.0,1.0,1.0,0.9938837920489296,0.9939759036144578,0.9938650306748467,0.9938832772166105,0.9938271604938271,0.9939393939393939,"[[164, 0], [2, 161]]"
ngrams_2_3,SGDClassifier,models\ngrams_2_3__SGDClassifier.joblib,0.9969418960244648,0.9969512195121951,0.9969512195121951,0.9969418960244648,0.9908256880733946,0.9908349543618136,0.9908349543618136,0.9908256880733946,0.9908256880733946,0.9908256880733946,"[[162, 2], [1, 162]]"
ngrams_2_3,LinearSVC,models\ngrams_2_3__LinearSVC.joblib,0.9938837920489296,0.9938837348496184,0.9938837348496184,0.9938837348496184,0.9908256880733946,0.9908349543618136,0.9908349543618136,0.9908256880733946,0.9908256880733946,0.9908256880733946,"[[162, 2], [1, 162]]"
ngrams_2_3,LogisticRegression,models\ngrams_2_3__LogisticRegression.joblib,0.9908256880733946,0.9908529741863075,0.9908162501870417,0.9908253448678981,0.9877675840978594,0.9878226711560045,0.9877861738740087,0.9877674696992369,0.9878048780487805,0.9877300613496932,"[[161, 3], [1, 162]]"
ngrams_2_3,MultinomialNB,models\ngrams_2_3__MultinomialNB.joblib,0.9877675840978594,0.9880239520958084,0.9878048780487805,0.987766554433221,0.9877675840978594,0.9878582653595749,0.987748765524465,0.987766554433221,0.9876543209876543,0.9878787878787879,"[[163, 1], [3, 160]]"
bow,MultinomialNB,models\bow__MultinomialNB.joblib,0.9969418960244648,0.9969512195121951,0.9969512195121951,0.9969418960244648,0.9877675840978594,0.9880952380952381,0.9877300613496933,0.9877647234902343,0.9875776397515528,0.9879518072289156,"[[164, 0], [4, 159]]"
tfidf,MultinomialNB,models\tfidf__MultinomialNB.joblib,0.9847094801223242,0.9851190476190477,0.9847560975609756,0.9847071918288702,0.9847094801223242,0.985207100591716,0.9846625766871165,0.9847043304987231,0.9844236760124611,0.984984984984985,"[[164, 0], [5, 158]]"
